Banque Bank;cred_sum;cred_sum_r
UBS;2525327403.4;0.2071936495752913
Credit Suisse;2225216548.1;0.182570678588222
Raiffeisen;1483950750.82;0.12175259787639045
ZÃ¼rcher Kantonalbank;726028756.5;0.05956793861790534
PostFinance;574270739.05;0.04711676201187705
Banque Cantonale Vaudoise;509632369;0.041813425986921886
Valiant;285840594;0.023452149526390836
Banque Cantonale de Fribourg;260726951;0.021391669233698753
Berner Kantonalbank;258499256;0.02120889520742034
Aargauische Kantonalbank;232802109.1;0.01910054060646247
